,MeanWaitingTime,CustomerCount,Servers,Rho,Method
145,0.0,500,4,0.01,prior
146,0.0,500,4,0.01,prior
147,0.0,500,4,0.01,prior
148,0.0,500,4,0.01,prior
149,0.0,500,4,0.01,prior
150,0.0025455692822761193,500,1,0.01,FIFO
151,0.0004203138238808606,500,1,0.01,FIFO
152,0.005899501538077402,500,1,0.01,FIFO
153,0.007305811536217789,500,1,0.01,FIFO
154,0.0074840663474030865,500,1,0.01,FIFO
155,0.0025513699130624446,500,1,0.01,FIFO
156,0.00419410526261072,500,1,0.01,FIFO
157,0.0021828680504034992,500,1,0.01,FIFO
158,0.004731565792346828,500,1,0.01,FIFO
159,0.0024591411365163366,500,1,0.01,FIFO
160,0.005073226283895565,500,1,0.01,FIFO
161,0.003321920164652056,500,1,0.01,FIFO
162,0.008540323668106795,500,1,0.01,FIFO
163,0.003775145406987804,500,1,0.01,FIFO
164,0.005066629263051027,500,1,0.01,FIFO
165,0.003880386941012148,500,1,0.01,FIFO
166,0.001936356475453067,500,1,0.01,FIFO
167,0.0029385365301914136,500,1,0.01,FIFO
168,0.0016620142591173134,500,1,0.01,FIFO
169,0.0009519917137622542,500,1,0.01,FIFO
170,0.008978340092297003,500,1,0.01,FIFO
171,0.0006224795092634849,500,1,0.01,FIFO
172,0.00021691223970992724,500,1,0.01,FIFO
173,0.0013745268349257458,500,1,0.01,FIFO
174,0.0037681689596802243,500,1,0.01,FIFO
175,0.003041795637376708,500,1,0.01,FIFO
176,0.0011910958332978225,500,1,0.01,FIFO
177,0.008571154003355105,500,1,0.01,FIFO
178,0.004090883973449308,500,1,0.01,FIFO
179,0.0022763353853060835,500,1,0.01,FIFO
180,0.0048413674593102765,500,1,0.01,FIFO
181,0.005111547422097828,500,1,0.01,FIFO
182,0.004260809948179684,500,1,0.01,FIFO
183,0.0006840301030101727,500,1,0.01,FIFO
184,0.005621464849387849,500,1,0.01,FIFO
185,0.005397132903904094,500,1,0.01,FIFO
186,0.01118647511873769,500,1,0.01,FIFO
