MeanWaitingTime,CustomerCount,Servers,Method
1.0934584500190208,5000,1,prior
1.3513343137807452,5000,1,prior
1.1315574025929995,5000,1,prior
1.7182744508348984,5000,1,prior
1.1478303314065945,5000,1,prior
1.1813391859790747,5000,1,prior
1.641246140419161,5000,1,prior
1.2289525602237548,5000,1,prior
1.0378897203851103,5000,1,prior
1.2841929800181675,5000,1,prior
1.5597811380507176,5000,1,prior
0.9646036073133919,5000,1,prior
1.3850735150572238,5000,1,prior
1.5372593116934774,5000,1,prior
0.9848411758202423,5000,1,prior
1.498370035302579,5000,1,prior
0.9646251940497826,5000,1,prior
1.2153219360149343,5000,1,prior
1.3887406030540483,5000,1,prior
1.2533139449219994,5000,1,prior
1.073251276443479,5000,1,prior
1.2453172207096554,5000,1,prior
1.7090556391952967,5000,1,prior
1.0721614721023303,5000,1,prior
1.1638447845835347,5000,1,prior
1.2506701428203617,5000,1,prior
1.3189030397599075,5000,1,prior
1.1490381029560812,5000,1,prior
1.0627639535635216,5000,1,prior
1.361716919270004,5000,1,prior
1.006868575411858,5000,1,prior
1.2249087974156039,5000,1,prior
1.1650684732464691,5000,1,prior
1.0133263494869058,5000,1,prior
1.2756678195381623,5000,1,prior
1.2050572011350904,5000,1,prior
1.2324490695418742,5000,1,prior
0.9929342197031441,5000,1,prior
1.0473053164462096,5000,1,prior
1.5317953651373,5000,1,prior
1.189259683259363,5000,1,prior
1.2543106038550835,5000,1,prior
0.9729666113316302,5000,1,prior
1.55825262727953,5000,1,prior
0.8712814007880048,5000,1,prior
0.9681309656594851,5000,1,prior
1.2034051706139288,5000,1,prior
1.1958521833140197,5000,1,prior
1.1941061211141812,5000,1,prior
1.1668577141188259,5000,1,prior
1.3809273099777764,5000,1,prior
1.3738332689324517,5000,1,prior
1.1221765586523178,5000,1,prior
1.732109730212839,5000,1,prior
0.910251153781364,5000,1,prior
1.0302427135730816,5000,1,prior
1.320827601752511,5000,1,prior
1.0061865747596572,5000,1,prior
1.4750312461864215,5000,1,prior
1.6840990979551462,5000,1,prior
1.3265788250132844,5000,1,prior
1.121033921318128,5000,1,prior
1.0562626451894352,5000,1,prior
1.1693572315998755,5000,1,prior
1.4733032453532564,5000,1,prior
1.223618188221119,5000,1,prior
1.130471835687903,5000,1,prior
1.0524197888787923,5000,1,prior
0.9494205429651098,5000,1,prior
1.403336571138104,5000,1,prior
1.3068712012937485,5000,1,prior
1.1159721476335325,5000,1,prior
