,MeanWaitingTime,CustomerCount,Servers,Method
0,1.2891492443040369,5000,1,prior
1,1.1988022994623495,5000,1,prior
2,1.0502519316662162,5000,1,prior
3,1.4195349329966769,5000,1,prior
4,1.1308702478740547,5000,1,prior
5,1.8804606905236454,5000,1,prior
6,1.1611420133032717,5000,1,prior
7,1.4408285951532163,5000,1,prior
8,1.2690310530889408,5000,1,prior
9,1.2001045558711638,5000,1,prior
10,1.5395986425754644,5000,1,prior
11,1.322465408395003,5000,1,prior
12,1.4192998124129264,5000,1,prior
13,1.2190902097052532,5000,1,prior
14,1.322458856912096,5000,1,prior
15,1.184997824676426,5000,1,prior
16,1.417941196437825,5000,1,prior
17,1.2285176107600462,5000,1,prior
18,1.13858614341478,5000,1,prior
19,1.0220846471660425,5000,1,prior
20,1.0318609535044816,5000,1,prior
21,1.1155543788396718,5000,1,prior
22,1.010476203243527,5000,1,prior
23,1.0736112825132826,5000,1,prior
24,1.3721879754299229,5000,1,prior
25,1.5678393455342385,5000,1,prior
26,1.2521068744999495,5000,1,prior
27,1.454798794851444,5000,1,prior
28,1.9231409839692912,5000,1,prior
29,1.032198759122096,5000,1,prior
30,1.0163552675244492,5000,1,prior
31,0.9304424472887491,5000,1,prior
32,1.3635183245861358,5000,1,prior
33,1.1345296704213117,5000,1,prior
34,1.29910403184956,5000,1,prior
35,1.0836533700298692,5000,1,prior
36,1.178023314662326,5000,1,prior
37,0.8619415780477219,5000,1,prior
38,1.0337720071932661,5000,1,prior
39,1.361523672318577,5000,1,prior
40,1.1122402084285314,5000,1,prior
41,1.0928533447591278,5000,1,prior
42,1.1883081004262344,5000,1,prior
43,1.2814716231469712,5000,1,prior
44,1.2155754446228395,5000,1,prior
45,1.178658714337895,5000,1,prior
46,1.1803682714246424,5000,1,prior
47,1.1148700852687288,5000,1,prior
48,1.1770656647613704,5000,1,prior
49,1.1251003293598245,5000,1,prior
50,1.168862111494546,5000,1,prior
51,1.1071340846513438,5000,1,prior
52,1.273577920016292,5000,1,prior
53,1.2627495912637359,5000,1,prior
54,1.2295403871269948,5000,1,prior
55,1.3282305391409324,5000,1,prior
56,1.1393440904219347,5000,1,prior
57,1.3411545888274221,5000,1,prior
58,1.1571410375579314,5000,1,prior
59,1.6061879969975696,5000,1,prior
60,1.3392554389903935,5000,1,prior
61,1.0772127079522582,5000,1,prior
62,1.6469303245504565,5000,1,prior
63,1.188442806776109,5000,1,prior
64,1.1938127271367331,5000,1,prior
65,1.2715461556932248,5000,1,prior
66,1.4622097617268033,5000,1,prior
67,1.0551506525230725,5000,1,prior
68,1.10624824923516,5000,1,prior
69,1.231986066854552,5000,1,prior
70,1.1375044685079734,5000,1,prior
71,1.0166772652540512,5000,1,prior
72,1.1076095053601722,5000,1,prior
73,1.341343944059496,5000,1,prior
74,1.4274922110801416,5000,1,prior
75,1.1323221078288834,5000,1,prior
76,1.2543994269289664,5000,1,prior
77,1.5310438821302417,5000,1,prior
78,1.2099037381771731,5000,1,prior
79,1.260072365818467,5000,1,prior
