,MeanWaitingTime,CustomerCount,Servers,Method
0,1.1752773386477446,5000,1,prior
1,1.4161585136807495,5000,1,prior
2,1.114787531164899,5000,1,prior
3,1.1525110292341976,5000,1,prior
4,1.4379306590316847,5000,1,prior
5,1.2806356712241806,5000,1,prior
6,1.2695088318868606,5000,1,prior
7,1.3091770128120115,5000,1,prior
8,1.2084509253295994,5000,1,prior
9,1.229038897299662,5000,1,prior
10,1.3194251001768755,5000,1,prior
11,1.130311981384869,5000,1,prior
12,1.0062924952155416,5000,1,prior
13,1.0477719668851138,5000,1,prior
14,1.3139266227417523,5000,1,prior
15,1.2265463918495054,5000,1,prior
16,1.2240314473226808,5000,1,prior
17,1.2263813933608625,5000,1,prior
18,1.9243485247735632,5000,1,prior
19,1.335828038286879,5000,1,prior
20,1.1382255845012945,5000,1,prior
21,1.3271833056912543,5000,1,prior
22,1.5193798521670168,5000,1,prior
23,1.3938162426879817,5000,1,prior
24,1.2297578169466499,5000,1,prior
25,1.048806354406796,5000,1,prior
26,1.077132946091916,5000,1,prior
27,1.4440166740542004,5000,1,prior
28,1.0790111817825523,5000,1,prior
29,1.2721556164188015,5000,1,prior
30,1.2544436667100864,5000,1,prior
31,1.2768630661983242,5000,1,prior
32,1.0659691252744843,5000,1,prior
33,1.20992389789532,5000,1,prior
34,1.1183267894194766,5000,1,prior
35,1.1338631024662296,5000,1,prior
36,1.426962992224969,5000,1,prior
37,1.0847390562781207,5000,1,prior
38,1.158850580220136,5000,1,prior
39,1.0563165148434095,5000,1,prior
40,1.682218432571413,5000,1,prior
41,1.0472817552363347,5000,1,prior
42,0.990566628021644,5000,1,prior
43,1.3960288237586664,5000,1,prior
44,1.141871413930869,5000,1,prior
45,1.2410106546885795,5000,1,prior
46,2.3233391768436835,5000,1,prior
47,1.1675695721668462,5000,1,prior
48,1.1170373727049463,5000,1,prior
49,1.1294940056431593,5000,1,prior
50,2.9606832137370946,5000,1,FIFO
51,3.507371801198803,5000,1,FIFO
52,4.30690628636125,5000,1,FIFO
53,2.2559360113894895,5000,1,FIFO
54,2.7185651035834,5000,1,FIFO
55,2.764637353063257,5000,1,FIFO
56,2.3413901941622313,5000,1,FIFO
57,3.587118960353866,5000,1,FIFO
58,3.5307759455919046,5000,1,FIFO
59,3.5030780850867114,5000,1,FIFO
60,3.1622876275707386,5000,1,FIFO
61,2.9933823984787917,5000,1,FIFO
62,2.9651625603532747,5000,1,FIFO
63,2.6129509782616793,5000,1,FIFO
64,3.8702718277171386,5000,1,FIFO
65,3.006632486487636,5000,1,FIFO
66,2.675053745267161,5000,1,FIFO
67,3.845030905141952,5000,1,FIFO
68,3.0030204693866582,5000,1,FIFO
69,5.292230578331853,5000,1,FIFO
70,3.3952317634949445,5000,1,FIFO
71,2.754192085576897,5000,1,FIFO
72,3.145367312623303,5000,1,FIFO
73,3.17405825970893,5000,1,FIFO
74,3.8882576260491826,5000,1,FIFO
75,4.113737228005994,5000,1,FIFO
76,2.3347117734366156,5000,1,FIFO
77,4.982627546439822,5000,1,FIFO
78,4.706162570433963,5000,1,FIFO
79,3.4438397732307933,5000,1,FIFO
80,5.892901422034115,5000,1,FIFO
81,3.4227025265625097,5000,1,FIFO
82,3.9932602624022677,5000,1,FIFO
83,2.400090865632313,5000,1,FIFO
84,3.7040847794160263,5000,1,FIFO
85,3.4546093054857674,5000,1,FIFO
86,5.415490608737362,5000,1,FIFO
87,4.391095454824089,5000,1,FIFO
88,2.8612381121401325,5000,1,FIFO
89,4.1957118268748355,5000,1,FIFO
90,2.8637001311233123,5000,1,FIFO
91,3.02078825995922,5000,1,FIFO
92,3.700649972147064,5000,1,FIFO
93,3.1285971674719018,5000,1,FIFO
94,3.01380889579283,5000,1,FIFO
95,2.6881328285673742,5000,1,FIFO
96,2.774647748293883,5000,1,FIFO
97,3.393784782127926,5000,1,FIFO
98,3.171206776586099,5000,1,FIFO
99,3.3634544569833467,5000,1,FIFO
