,AreaEstimation,Error,Variance,StDev,SampleSize,N_iterations,Method
0,9.0,7.489004999999998,0.0,0.0,1000,1,Random
1,9.0,7.489004999999998,0.0,0.0,1000,1,LHC
2,9.0,7.489004999999998,0.0,0.0,1000,1,Orthogonal
3,9.0,7.489004999999998,0.0,0.0,1000,2,Random
4,9.0,7.489004999999998,0.0,0.0,1000,2,LHC
5,9.0,7.489004999999998,0.0,0.0,1000,2,Orthogonal
6,8.368500000000003,6.857505000000001,0.00635756896551722,0.07973436502234918,1000,3,Random
7,8.3673,6.856305000000001,0.005760217241379306,0.07589609503379806,1000,3,LHC
8,8.3712,6.860205000000001,0.003054165517241353,0.05526450503932296,1000,3,Orthogonal
9,6.2562000000000015,4.7452049999999995,0.016857682758620655,0.12983713936551688,1000,4,Random
10,6.244200000000001,4.733204999999999,0.011627131034482702,0.1078291752471598,1000,4,LHC
11,6.267600000000001,4.756604999999999,0.011890799999999925,0.10904494486219857,1000,4,Orthogonal
12,4.198499999999999,2.6875049999999994,0.02381260344827585,0.15431332880952264,1000,5,Random
13,4.156199999999999,2.645205,0.03376526896551725,0.18375328287004086,1000,5,LHC
14,4.158,2.647005,0.008474275862068949,0.09205583013622194,1000,5,Orthogonal
15,3.2738999999999994,1.7629049999999997,0.011394093103448301,0.10674311735867704,1000,6,Random
16,3.2501999999999995,1.7392049999999997,0.014288027586206885,0.1195325377719677,1000,6,LHC
17,3.2676000000000003,1.7566049999999995,0.00757452413793104,0.08703174212855354,1000,6,Orthogonal
18,2.8149,1.3039049999999996,0.022823472413793112,0.1510743936403291,1000,7,Random
19,2.770200000000001,1.2592050000000001,0.018095958620689686,0.13452121996432267,1000,7,LHC
20,2.8211999999999997,1.3102049999999998,0.004914372413793109,0.07010258492946683,1000,7,Orthogonal
21,2.5506,1.039605,0.010343420689655151,0.10170260906021611,1000,8,Random
22,2.5137,1.0027050000000002,0.013832286206896527,0.11761074018514009,1000,8,LHC
23,2.5257,1.014705,0.0053151827586206644,0.07290529993505729,1000,8,Orthogonal
24,2.3466000000000005,0.8356049999999998,0.01428914482758621,0.11953721105825671,1000,9,Random
25,2.3091,0.798105,0.010092506896551744,0.10046146971128654,1000,9,LHC
26,2.301,0.7900050000000002,0.005493103448275869,0.07411547374385372,1000,9,Orthogonal
27,2.2395,0.728505,0.014379362068965524,0.11991397778810244,1000,10,Random
28,2.2041,0.6931050000000002,0.012185472413793117,0.1103878272899377,1000,10,LHC
29,2.1876,0.676605,0.006552248275862069,0.08094595898413996,1000,10,Orthogonal
30,2.1177,0.6067049999999998,0.017625320689655166,0.1327603882551387,1000,11,Random
31,2.0990999999999995,0.588105,0.013209610344827583,0.11493306897854762,1000,11,LHC
32,2.0991000000000004,0.588105,0.004159955172413787,0.06449771447434233,1000,11,Orthogonal
33,2.0120999999999998,0.501105,0.025437817241379324,0.15949237361510213,1000,12,Random
34,2.0007,0.48970499999999995,0.01081573448275862,0.10399872346696674,1000,12,LHC
35,2.0162999999999998,0.505305,0.0045722172413793115,0.06761817241969285,1000,12,Orthogonal
36,1.9790999999999996,0.4681049999999998,0.01773257586206896,0.13316371826465706,1000,13,Random
37,1.9674,0.45640499999999995,0.015789972413793107,0.12565815697276922,1000,13,LHC
38,1.9503,0.43930499999999995,0.005363596551724139,0.07323657932839395,1000,13,Orthogonal
39,1.9293,0.4183049999999999,0.012744837931034479,0.11289303756669176,1000,14,Random
40,1.902,0.391005,0.01552593103448276,0.1246030940004411,1000,14,LHC
41,1.9332,0.422205,0.004001958620689654,0.06326103556447407,1000,14,Orthogonal
42,1.8813,0.37030499999999994,0.011432079310344833,0.1069209021208895,1000,15,Random
43,1.8848999999999998,0.37390499999999993,0.008997610344827588,0.09485573438030823,1000,15,LHC
44,1.854,0.34300499999999995,0.004664482758620686,0.06829701866568325,1000,15,Orthogonal
45,1.8624000000000003,0.35140499999999997,0.01062459310344827,0.10307566688335454,1000,16,Random
46,1.8329999999999997,0.3220049999999999,0.013252344827586209,0.11511882916181092,1000,16,LHC
47,1.8639000000000001,0.3529049999999998,0.005543472413793101,0.074454498949312,1000,16,Orthogonal
48,1.8423,0.3313049999999999,0.008234906896551724,0.09074638778789888,1000,17,Random
49,1.815,0.3040049999999999,0.011481517241379307,0.10715184198780396,1000,17,LHC
50,1.8185999999999998,0.30760499999999985,0.00733990344827586,0.08567323647601893,1000,17,Orthogonal
51,1.7901,0.2791049999999999,0.010101817241379308,0.10050779691834513,1000,18,Random
52,1.8048,0.2938049999999999,0.01472375172413794,0.12134146745502108,1000,18,LHC
53,1.7805,0.26950499999999994,0.003843775862068963,0.061998192409690164,1000,18,Orthogonal
54,1.7859,0.2749049999999999,0.012142644827586204,0.11019366963481253,1000,19,Random
55,1.7724,0.26613799999999993,0.01531142068965517,0.12373932555843017,1000,19,LHC
56,1.7922000000000002,0.2812049999999999,0.004936717241379307,0.07026177653162,1000,19,Orthogonal
57,1.7088,0.2013379999999999,0.012059131034482768,0.10981407484691008,1000,20,Random
58,1.7421,0.23110499999999992,0.009545058620689658,0.09769881586124603,1000,20,LHC
59,1.7583000000000004,0.24730499999999994,0.004639251724137934,0.06811205270829777,1000,20,Orthogonal
60,1.7489999999999999,0.23800499999999994,0.012498206896551727,0.11179537958498878,1000,21,Random
61,1.7330999999999999,0.2221049999999999,0.012053265517241393,0.10978736501638699,1000,21,LHC
62,1.7717999999999998,0.2608049999999999,0.006070717241379308,0.07791480758738552,1000,21,Orthogonal
63,1.7351999999999999,0.22420499999999996,0.01400126896551724,0.11832695789851626,1000,22,Random
